id,user_id,course_id,action_type,keyword,tag,rating,price,timestamp,metadata
6925b361d0235f96a2f7078d,a6ce7642-f52b-475f-b6e2-84d8e23be6f4,1e1f70b1-76a4-4277-9739-3a24da349685,view,Cờ vua ,[],,20000,2025-11-25 13:47:12.879,
6925b418d0235f96a2f7078e,a6ce7642-f52b-475f-b6e2-84d8e23be6f4,b5ed19ee-5b33-4a1f-a0d9-d751a1e9ddc9,view,Khóa học cơ bản về cờ tướng ,[],,30000,2025-11-25 13:50:16.263,
6925b4a1d0235f96a2f7078f,a6ce7642-f52b-475f-b6e2-84d8e23be6f4,fdd3b255-f8f7-488e-aae1-5442206150b1,view,Khóa học nodeJS ,[],,30000,2025-11-25 13:52:33.123,
6925b5d5d0235f96a2f70790,a6ce7642-f52b-475f-b6e2-84d8e23be6f4,fdd3b255-f8f7-488e-aae1-5442206150b1,view,Khóa học nodeJS ,[],,30000,2025-11-25 13:57:41.178,
6925b792c922e0200f48bb56,a6ce7642-f52b-475f-b6e2-84d8e23be6f4,1e1f70b1-76a4-4277-9739-3a24da349685,view,Cờ vua ,[],,20000,2025-11-25 14:05:06.507,
6925dc1460247961bfe52977,a6ce7642-f52b-475f-b6e2-84d8e23be6f4,1e1f70b1-76a4-4277-9739-3a24da349685,view,Cờ vua ,[],,20000,2025-11-25 16:40:51.773,
6925dd3a60247961bfe52978,9ce4710a-3848-4ebb-bee7-09b3073b1db9,fdd3b255-f8f7-488e-aae1-5442206150b1,view,Khóa học nodeJS ,[],,30000,2025-11-25 16:45:46.393,
6925dea160247961bfe52979,9ce4710a-3848-4ebb-bee7-09b3073b1db9,fdd3b255-f8f7-488e-aae1-5442206150b1,view,Khóa học nodeJS ,[],,30000,2025-11-25 16:51:45.491,
692668547f9ca1b6c67c857f,a6ce7642-f52b-475f-b6e2-84d8e23be6f4,b5ed19ee-5b33-4a1f-a0d9-d751a1e9ddc9,view,Khóa học cơ bản về cờ tướng ,[],,30000,2025-11-26 02:39:16.323,
692668577f9ca1b6c67c8580,a6ce7642-f52b-475f-b6e2-84d8e23be6f4,b5ed19ee-5b33-4a1f-a0d9-d751a1e9ddc9,view,Khóa học cơ bản về cờ tướng ,[],,30000,2025-11-26 02:39:19.007,
69266a448224255f97bf5149,a6ce7642-f52b-475f-b6e2-84d8e23be6f4,1e1f70b1-76a4-4277-9739-3a24da349685,view,Cờ vua ,[],,20000,2025-11-26 02:47:31.884,
69266c2c8224255f97bf514a,a6ce7642-f52b-475f-b6e2-84d8e23be6f4,b5ed19ee-5b33-4a1f-a0d9-d751a1e9ddc9,view,Khóa học cơ bản về cờ tướng ,[],,30000,2025-11-26 02:55:40.643,
6929675c92e14cb2905e49e0,a6ce7642-f52b-475f-b6e2-84d8e23be6f4,ab5632dc-4477-4025-9022-8f09ef42080e,view,Cờ vua khai cuộc nâng cao,[],,349000,2025-11-28 09:11:56.119,
6929675e92e14cb2905e49e1,a6ce7642-f52b-475f-b6e2-84d8e23be6f4,ab5632dc-4477-4025-9022-8f09ef42080e,view,Cờ vua khai cuộc nâng cao,[],,349000,2025-11-28 09:11:58.426,
692967c792e14cb2905e49e2,a6ce7642-f52b-475f-b6e2-84d8e23be6f4,24c0c8b6-4aed-4e86-b8d9-2de932123bfc,view,Master Chess & BoardGame chiến lược,[],,399000,2025-11-28 09:13:43.856,
692c6ed2d1f134e0f6df7df1,9ce4710a-3848-4ebb-bee7-09b3073b1db9,c176cef2-d2ff-44ce-a261-efc888421ca2,view,Cờ Tướng ,[],,30000,2025-11-30 16:20:34.638,
692c6ed8d1f134e0f6df7df2,9ce4710a-3848-4ebb-bee7-09b3073b1db9,c176cef2-d2ff-44ce-a261-efc888421ca2,view,Cờ Tướng ,[],,30000,2025-11-30 16:20:40.006,
692c6f6ed1f134e0f6df7df3,9ce4710a-3848-4ebb-bee7-09b3073b1db9,6f2a17ed-f018-4e5e-8d87-caea757c1e0d,view,Chiến thuật tư duy kết hợp BoardGame & Thể thao,[],,289000,2025-11-30 16:23:10.618,
692c7035d1f134e0f6df7df4,9ce4710a-3848-4ebb-bee7-09b3073b1db9,c176cef2-d2ff-44ce-a261-efc888421ca2,view,Cờ Tướng ,[],,30000,2025-11-30 16:26:29.329,
692f8dc4712252deadba464f,9ce4710a-3848-4ebb-bee7-09b3073b1db9,6f2a17ed-f018-4e5e-8d87-caea757c1e0d,view,Chiến thuật tư duy kết hợp BoardGame & Thể thao,[],,289000,2025-12-03 01:09:24.213,
692f8dc7712252deadba4650,9ce4710a-3848-4ebb-bee7-09b3073b1db9,b5ed19ee-5b33-4a1f-a0d9-d751a1e9ddc9,view,Khóa học cơ bản về cờ tướng ,[],,30000,2025-12-03 01:09:27.914,
692f8dc9712252deadba4651,9ce4710a-3848-4ebb-bee7-09b3073b1db9,b5ed19ee-5b33-4a1f-a0d9-d751a1e9ddc9,view,Khóa học cơ bản về cờ tướng ,[],,30000,2025-12-03 01:09:29.643,
692f8dca712252deadba4652,9ce4710a-3848-4ebb-bee7-09b3073b1db9,b5ed19ee-5b33-4a1f-a0d9-d751a1e9ddc9,view,Khóa học cơ bản về cờ tướng ,[],,30000,2025-12-03 01:09:30.177,
692f8ddb712252deadba4653,9ce4710a-3848-4ebb-bee7-09b3073b1db9,fdd3b255-f8f7-488e-aae1-5442206150b1,view,Khóa học nodeJS ,[],,30000,2025-12-03 01:09:47.177,
692f8de6712252deadba4654,9ce4710a-3848-4ebb-bee7-09b3073b1db9,1e1f70b1-76a4-4277-9739-3a24da349685,view,Cờ vua ,[],,20000,2025-12-03 01:09:58.295,
692f8e1f712252deadba4655,9ce4710a-3848-4ebb-bee7-09b3073b1db9,b5ed19ee-5b33-4a1f-a0d9-d751a1e9ddc9,view,Khóa học cơ bản về cờ tướng ,[],,30000,2025-12-03 01:10:55.306,
6935a847009ba0a1bdfe2df1,9ce4710a-3848-4ebb-bee7-09b3073b1db9,fdd3b255-f8f7-488e-aae1-5442206150b1,view,Khóa học nodeJS ,[],,30000,2025-12-07 16:16:07.633,
