id,title,price_bigint,instructor_id,lesson_count,total_duration,background,review_count,avg_rating,slug,categories,text
1e1f70b1-76a4-4277-9739-3a24da349685,Cờ vua ,20000,fc3cf1a2-944e-49fe-834a-bf98e245dcb4,3,384,http://localhost:9000/background/1764041444904.png,0,0.0,co-vua,,Cờ vua 
b5ed19ee-5b33-4a1f-a0d9-d751a1e9ddc9,Khóa học cơ bản về cờ tướng ,30000,fc3cf1a2-944e-49fe-834a-bf98e245dcb4,2,256,http://localhost:9000/background/1764073926897.png,0,0.0,khoa-hoc-co-ban-ve-co-tuong,,Khóa học cơ bản về cờ tướng 
fdd3b255-f8f7-488e-aae1-5442206150b1,Khóa học nodeJS ,30000,fc3cf1a2-944e-49fe-834a-bf98e245dcb4,1,128,http://localhost:9000/background/1764053013226.jpg,2,5.0,khoa-hoc-nodejs,,Khóa học nodeJS 
d8d2b274-1d6c-4207-beb3-496319c4cb78,Chess 2,20000,fc3cf1a2-944e-49fe-834a-bf98e245dcb4,0,0,http://localhost:9000/background/1764126581500.png,0,0.0,chess-2,"[{'id': '4ab0ef9e-a7f3-43e2-bfdd-aa632f3e2170', 'name': 'BoardGame', 'slug': 'boardgame', 'description': '', 'created_at': '2025-11-25T03:05:40.148Z'}, {'id': '0d009ff2-1b6e-4e85-9df7-9fce2053cbd6', 'name': 'Chess', 'slug': 'chess', 'description': '', 'created_at': '2025-11-25T03:05:59.149Z'}]",Chess 2
8d99b2b1-7e07-4018-9d4a-d7dd79773c26,Chiến thuật chơi cờ vua nâng cao,249000,b6c3c3c2-9d88-4b6a-94df-0f715dd0ab11,0,0,,0,0.0,chess-nang-cao,"[{'id': '0d009ff2-1b6e-4e85-9df7-9fce2053cbd6', 'name': 'Chess', 'slug': 'chess', 'description': '', 'created_at': '2025-11-25T03:05:59.149Z'}]",Chiến thuật chơi cờ vua nâng cao
3c996981-e608-4d53-b54a-43ee061f072f,Huấn luyện thể thao tổng hợp,299000,b6c3c3c2-9d88-4b6a-94df-0f715dd0ab11,0,0,,0,0.0,sport-training,"[{'id': 'b75fa060-92f2-4f20-b980-bd0eb99a0d7c', 'name': 'Sport', 'slug': 'sport', 'description': '', 'created_at': '2025-11-25T03:06:13.556Z'}]",Huấn luyện thể thao tổng hợp
ead131f5-883c-426d-b4e5-9d4ac68621b7,Tư duy chiến lược qua BoardGame & Chess,299000,b6c3c3c2-9d88-4b6a-94df-0f715dd0ab11,0,0,,0,0.0,chiendich-boardgame-chess,"[{'id': '4ab0ef9e-a7f3-43e2-bfdd-aa632f3e2170', 'name': 'BoardGame', 'slug': 'boardgame', 'description': '', 'created_at': '2025-11-25T03:05:40.148Z'}, {'id': '0d009ff2-1b6e-4e85-9df7-9fce2053cbd6', 'name': 'Chess', 'slug': 'chess', 'description': '', 'created_at': '2025-11-25T03:05:59.149Z'}]",Tư duy chiến lược qua BoardGame & Chess
e2f4dbf0-1267-4674-b293-1fe44dd7df6f,Rèn luyện phản xạ qua Chess & Sport,199000,b6c3c3c2-9d88-4b6a-94df-0f715dd0ab11,0,0,,0,0.0,ren-luyen-phan-xa,"[{'id': '0d009ff2-1b6e-4e85-9df7-9fce2053cbd6', 'name': 'Chess', 'slug': 'chess', 'description': '', 'created_at': '2025-11-25T03:05:59.149Z'}, {'id': 'b75fa060-92f2-4f20-b980-bd0eb99a0d7c', 'name': 'Sport', 'slug': 'sport', 'description': '', 'created_at': '2025-11-25T03:06:13.556Z'}]",Rèn luyện phản xạ qua Chess & Sport
7a687425-fdcb-48bf-a82a-1c14cc8850ce,Nghệ thuật giải quyết vấn đề bằng BoardGame,259000,b6c3c3c2-9d88-4b6a-94df-0f715dd0ab11,0,0,,0,0.0,giai-quyet-van-de-boardgame,"[{'id': '4ab0ef9e-a7f3-43e2-bfdd-aa632f3e2170', 'name': 'BoardGame', 'slug': 'boardgame', 'description': '', 'created_at': '2025-11-25T03:05:40.148Z'}]",Nghệ thuật giải quyết vấn đề bằng BoardGame
ab5632dc-4477-4025-9022-8f09ef42080e,Cờ vua khai cuộc nâng cao,349000,b6c3c3c2-9d88-4b6a-94df-0f715dd0ab11,0,0,,0,0.0,chess-khai-cuoc-nang-cao,"[{'id': '0d009ff2-1b6e-4e85-9df7-9fce2053cbd6', 'name': 'Chess', 'slug': 'chess', 'description': '', 'created_at': '2025-11-25T03:05:59.149Z'}]",Cờ vua khai cuộc nâng cao
dacbc74c-3f6a-4d7c-aa79-49ea570a9141,Thể thao dành cho người bận rộn,159000,b6c3c3c2-9d88-4b6a-94df-0f715dd0ab11,0,0,,0,0.0,sport-cho-nguoi-ban-ron,"[{'id': 'b75fa060-92f2-4f20-b980-bd0eb99a0d7c', 'name': 'Sport', 'slug': 'sport', 'description': '', 'created_at': '2025-11-25T03:06:13.556Z'}]",Thể thao dành cho người bận rộn
6f2a17ed-f018-4e5e-8d87-caea757c1e0d,Chiến thuật tư duy kết hợp BoardGame & Thể thao,289000,b6c3c3c2-9d88-4b6a-94df-0f715dd0ab11,0,0,,0,0.0,chien-thuat-boardgame-sport,"[{'id': '4ab0ef9e-a7f3-43e2-bfdd-aa632f3e2170', 'name': 'BoardGame', 'slug': 'boardgame', 'description': '', 'created_at': '2025-11-25T03:05:40.148Z'}, {'id': 'b75fa060-92f2-4f20-b980-bd0eb99a0d7c', 'name': 'Sport', 'slug': 'sport', 'description': '', 'created_at': '2025-11-25T03:06:13.556Z'}]",Chiến thuật tư duy kết hợp BoardGame & Thể thao
24c0c8b6-4aed-4e86-b8d9-2de932123bfc,Master Chess & BoardGame chiến lược,399000,b6c3c3c2-9d88-4b6a-94df-0f715dd0ab11,0,0,,0,0.0,master-chess-boardgame,"[{'id': '4ab0ef9e-a7f3-43e2-bfdd-aa632f3e2170', 'name': 'BoardGame', 'slug': 'boardgame', 'description': '', 'created_at': '2025-11-25T03:05:40.148Z'}, {'id': '0d009ff2-1b6e-4e85-9df7-9fce2053cbd6', 'name': 'Chess', 'slug': 'chess', 'description': '', 'created_at': '2025-11-25T03:05:59.149Z'}]",Master Chess & BoardGame chiến lược
9ab14fe6-4743-4c74-b5ae-4ba892294de8,test,20000,fc3cf1a2-944e-49fe-834a-bf98e245dcb4,1,128,http://localhost:9000/background/1764321922473.png,0,0.0,test,"[{'id': '0d009ff2-1b6e-4e85-9df7-9fce2053cbd6', 'name': 'Chess', 'slug': 'chess', 'description': '', 'created_at': '2025-11-25T03:05:59.149Z'}]",test
